"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Car Bombing","2","25","Azaz, Syria","At least two people were killed and an additional 25 were injured when a massive car bomb detonated in the city of Azaz, Syria.[1][2]","Militants (suspected)","Syrian Civil War"
"1","Bombing","1","3","Sukma district, India","A District Reserve Guard (DRG) jawan was killed and three others were injured in an IED blast triggered allegedly by Naxals in Sukma district of Chhattisgarh.[3][4]","CPI","Naxalite–Maoist insurgency"
"1","Shooting","30","Unknown","Borno State, Nigeria","30 Nigerian soldiers died in combat with Boko Haram jihadists who overran a military base in the northeast near the border with Niger.[5]","Boko Haram","Boko Haram insurgency"
"1-2","Kidnapping","5","7 Kidnapped","Ndop, Cameroon","At least five people were killed in Ndop, reportedly for campaigning for the ruling Cameroon People's Democratic Movement ahead of the Presidential elections. Two sons of a former Divisional Officer of Ndop were also kidnapped, a principal and six students were abducted by unknown armed men, and a head teacher was attacked.[6]","Ambazonia Defence Forces (suspected)","Anglophone Crisis"
"2","Rocket Attack","4","7","Tripoli, Libya","4 people were killed and 7 others were injured when a rocket was fired and hit the Al-Fallah refugee camp in the Libyan capital of Tripoli.[7]","Militants (suspected)","Libyan Civil War"
"2","Shooting","14","12","Jos South, Nigeria","Eleven people were killed and other twelve were injured during an attack in Du village,in other incidents the assailants were said to have laid ambush for their victims in Adu village in the Kwall District, Bassa.[8][9]","Fulani herdsmen militants","Communal conflicts in Nigeria"
"2","Assassination","1","1","Ocaña, Colombia","A social leader was shot dead and his companion was injured during a shooting in the town of Ocaña, Norte de Santander Department.[10][11]","ELN (suspected)","Colombian conflict"
"2","Bombing","2","15","Sultan Kudarat, Philippines","2018 Isulan bombings: A bomb blast in an internet cafe in Southern Philippines killed at least 2 and injured 15. The attack was blamed on the Bangsamoro Islamic Freedom Fighters.[12][13]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"2","Bombing","3","2","Salahuddin, Iraq","A bomb exploded while farmers were collecting firewood killing 3 and injuring 2 in Salahuddin, Iraq.[14]","Islamic State (suspected)","Iraqi insurgency"
"2","Suicide Car Bombing","7 (+1)","14","Mogadishu, Somalia","A suicide car bombing hit a government office in Mogadishu, causing a nearby school to collapse and killing at least 7 and injuring 14.[15][16]","Al-Shabaab","Somali Civil War"
"2","Bombing","0","7","Kandahar, Afghanistan","7 police officials were injured when 2 IEDs exploded in the city of Kandahar,Afghanistan,no group has claimed responsibility yet for the bombing.[17][18]","Taliban (suspected)","War in Afghanistan"
"2","Bombing","0","0","Arauquita Colombia","A boat bomb was detonated in a houseboat of the National Navy. No injuries were reported[19]","ELN (suspected)","Colombian conflict"
"3","Assassination, Arson, Shooting","2","2","Isulan, Sultan Kudarat, Philippines","Two farmers were executed and his houses were burned for BIFF militants in a remote part of Datu Hoffer Ampatuan town in Maguindanao. Later two soldiers, were wounded while preventing gunmen from breaching their detachment's perimeter.[20][21]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"3","Shooting","7","0","Kirkuk, Iraq","7 people were killed when Islamic State militants stormed a village in Kirkuk and started shooting.[22][23]","Islamic State","Iraqi insurgency"
"3","Attempted Stabbing","0 (+1)","0","Kiryat Arba, West Bank","A Palestinian assailant was shoot dead when tried stabbing IDF soldiers at a checkpoint at the entrance to the Givat Avot neighborhood.[24][25]","Palestinian nationalist","Israeli–Palestinian conflict"
"3","Shooting","1","3","Al-Shirqat District, Iraq","Islamic state fighters attacked people getting out of a mosque killing 1 and injuring 3 in Iraq.[26]","Islamic State","Iraqi insurgency"
"3","Bombing","0","4","Baghdad, Iraq","Four people were wounded by the detonation of an improvised explosive device in Baghdad. No group claimed responsibility for the attack.[27]","Islamic State (suspected)","Iraqi insurgency"
"4","Kidnapping","0","1 Kidnapped","Bafut, Cameroon","The Fon of Bafut was abducted from his palace by gunmen who accused him of aiding the Cameroonian Army, his captors released him hours later.[28]","Ambazonia Defence Forces","Anglophone Crisis"
"4","Attempted Suicide Bombing","0","0","Cairo, Egypt","A suicide bomber reportedly attempted to detonate himself outside the premises. Police were able to quickly intervene and arrest the person.[29][30]","Islamic State (suspected)","Insurgency in Egypt"
"4","Ambush","0","2","Beni, Democratic Republic of the Congo","Two South African peacekeepers were wounded during an ambush in the outskirts of the city of Beni, Democratic Republic of Congo.[31]","Allied Democratic Forces","Kivu conflict"
"4","Grenade attack","0","4","Baramulla district, India","Miitants threw a grenade the Sangrama Chowk near Srinagar-Baramulla highway injuring three members of the CRPF and a civilian. Lashkar-e-Taiba claimed responsibility for the attack.[32]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"5","Shooting, Assassination","2","0","Peshawar, Pakistan","Unidentified gunmen in motorcycles shot and killed an Awami National Party leader and his nephew in Tehkal area of the city of Peshawar, the ANP has been targeted by Tehrik i Taliban attacks in the past.[33][34]","Tehrik-i-Taliban Pakistan (suspected)","War in North-West Pakistan"
"4-5","Shootings, Stabbings","42","?","Bria, Central African Republic","Suspected Seleka rebels massacred at least 42 Christians by shootings and stabbings in Bria, Central African Republic.[35]","Séléka (suspected)","Central African Republic Civil War"
"5","Suicide car bombing, Suicide bombing","26  (+2)","91","Kabul, Afghanistan","September 2018 Kabul attacks: 26 people were killed and 91 were injured in a blast in a Kabul Wrestling club killing 4 then another attacker exploded when emergency forces arrived, in total 26 were killed and 91 were injured, among the dead were two journalists and the Islamic State claimed responsibility for the bombing.[36][37][38][39]","Islamic State","War in Afghanistan"
"5","Bombing","2","0","Muqur, Afghanistan","A distrital police chief and an officer wer killed when a roadside mine blast in Muqur, Badghis province police said.[40]","Taliban","War in Afghanistan"
"5","Bombing","2","6","Kompienga, Burkina Faso","2 Burkina Faso soldiers were killed and another 6 were injured when a roadside bomb targeting them exploded.[41]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"5","Bombing","0","0","Teorama, Colombia","Members of the ELN detonate a sector of the Caño Limón–Coveñas pipeline causes an oil spill in the municipality of Teorama, Norte de Santander Department.[42]","ELN","Colombian conflict"
"5","Shooting","0","0","Chandel district, India","Militants attacked the Assam Rifles post located at Aigijang village near Sajit Tampak Wednesday morning, security forces said.[43][44]","People's Liberation Army of Manipur","Insurgency in Northeast India"
"6","Shooting, Kidnapping","2","25 (abducted)","Borno State, Nigeria","A soldier and a civilian were killed and 25 others were abducted when Boko Haram militants attacked a bus in Borno State.[45]","Boko Haram","Boko Haram insurgency"
"6","Shooting, Arson","8","0","Takhar Province, Afghanistan","An Afghan policeman shot dead at least eight fellow officers, burned their bodies and took their weapons to join Taliban militants, the attack occurred in the Takhar province of Afghanistan.[46][47]","Taliban","War in Afghanistan"
"5-6","Shooting","6","60","Wardigleey district and Galmudug","Al Shabaab kills six people including at least four soldiers in the streets of the capital Mogadishu. The early day the group kidnapped more than 60 elders from Galgadud, in the central, semi-autonomous state of Galmudug, officials said.[48]","Al-Shabaab","War in Somalia"
"6","Shooting","11 (+10)","6 (+14)","Badghis Province, Afghanistan","Taliban militants carried out an attack on a security post killing 11 and injuring 6 officers the Taliban militants suffered at least 10 deaths as well.[49]","Taliban","War in Afghanistan"
"6","Shooting","7","0","Barkin Ladi, Nigeria","Seven Christian civilians was shoot dead  in Gana-Ropp village, Barkin Ladi LGA, Nigeria.[50]","Fulani herdsmen militants","Communal conflicts in Nigeria"
"6","Stabbing","0","1 (+1)","Juiz de Fora, Brazil","The Far-right presidential candidate Jair Bolsonaro was stabbed during a political campaign. A left-wing extremist was arrested.[51]","Left-wing extremist","Terrorism in Brazil"
