"date","type","dead","injured","location","details","perpetrator","partOf"
"5","Shooting","4","0","Wum, Cameroon","At least four gendarmes were killed in Eso, a village near Wum, Northwest Region.[44]","Ambazonia Defence Forces","Anglophone Crisis"
"5","Suicide bombing","3 (+1)","3","Chaharikar District, Afghanistan","Three NATO soldiers from the Czech Republic were killed and one American service member and two Afghan soldiers were injured in a suicide attack in the Chaharikar district of Parwan province in Afghanistan.[45]","Taliban","War in Afghanistan"
"5","Suicide Bombing","3 (+1)","3","Jalalabad, Afghanistan","Three officers of the Afghan National Army were killed and three others injured when a suicide bomber detonated his explosives in front of an army checkpoint in the eastern Afghan city of Jalalabad.[46]","Islamic State","War in Afghanistan"
"5","Suicide car bombing","4 (+1)","10","Afgooye, Somalia","A suicide car bomb attack near the gate of a military base in the town of Afgoye, 30 km northwest of Somalia's capital Mogadishu, killed four people and injured ten others.[47]","Al-Shabaab","Somali Civil War"
"5","Car bombing","9","7","Mogadishu, Somalia","At least nine people were killed and seven others wounded when a car bomb explosion hit a busy restaurant in the Somali capital Mogadishu.[48][49]","Al-Shabaab (suspected)","Somali Civil War"
"6","Arson","0","0","Cleveland National Forest, United States","A wildfire that burned in the Cleveland National Forest in Orange and Riverside Counties, California. Days later a sovereign citizen suspected to ignited a massive forest fire was arrested, and the investigation still ongoing.[50][51][52]","Sovereign Citizen militant","Terrorism in the United States"
"6","Bombings","4","15","Daraa Governorate, Syria","Four civilians were killed and 15 others injured when a number of explosives planted by Islamic State militants blew up in the Syrian governorate of Daraa.[53]","Islamic State","Syrian Civil War"
"6","Shooting, Kidnapping","3","1","Salahuddin, Iraq","3 people were killed by unidentified gunmen and a 4th one was kidnapped in Salahuddin Iraq.[54]","Islamic State (suspected)","Iraqi insurgency"
"6","Arson, Beheading","7","0","Maiduguri, Nigeria","7 people were killed in a raid by suspected Boko Haram militants on a village near Maiduguri the attackers got 7 people and beheaded them, then set fire to the village.[55]","Boko Haram (suspected)","Boko Haram insurgency"
"6","Shooting","2","1","Zalingei, Sudan","Unknown gunmen shot dead 2 farmers who were on a voluntary return to a village near Zalingei, Sudan.[56]","Unknown","War in Darfur"
"6","Bombing","9","0","Mosul, Iraq","A family composed of 9 returning from a refugee camp were killed when their booby trapped house exploded by bombs left by ISIS.[57]","Islamic State","Iraqi insurgency"
"7","Bombing","0","4","Baghdad, Iraq","Four people including a child were injured in a bomb blast southwest of Baghdad.[58]","Islamic State","Iraqi insurgency"
"7","Bombing","1","3","Padilla, Colombia","One policeman was killed and other three were injured when a bike bomb blast near the police station in de district of Padilla, in Cauca Department. The attack happen the same day in which Ivan Duque will assume the position of president of Colombia.[59][60]","FARC dissidents","Colombian conflict"
"7","Kidnapping, Shooting","14","0","North Kivu, Democratic Republic of Congo","14 people were kidnapped and killed by the Allied Democratic Forces in Congo.[61]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"7","Bombing","0","2","Suarez and Santander de Quilichao, Colombia","In the municipality of Suarez assailants threw a hand grenade in its entrance before fleeing on a motorcycle, injuring an officer in duty. Later in the municipality of San Andres de Quilichao a bike bomb blast in front of the headquarters of the National Civil Registry slightly injuring a security guard.The attack happen the same day in which Ivan Duque w loill assume the position of president of Colombia.[60]","FARC dissidents","Colombian conflict"
"7","Bombing","1","+1","Musa Qala, Afghanistan","One American Special Forces Soldier was killed for his injuries which also wounded several Afghans and at least one other American, according to two military officials.[62][63]","Taliban","War in Afghanistan"
"8","Bombing","8","6","Sholgara District, Afghanistan","Eight civilias were killed and other six were  injured when the victims were traveling in, hit a roadside mine in Sholgara district, Balkh province.[64][65]","Taliban","War in Afghanistan"
"8","Arson","0","0","Berlin, Germany","A lorry beloging to Deutsche Bahn Schenker was set on fire by anarchists in Wedding district in Berlin in Germany. The attack was in response of the alleged involvement of the bank with in logistics for NATO and the Turkish military in their war against the Kurdish areas.[66][67]","Autonome Gruppen","Terrorism in Germany"
