"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Knife attack","2 (+1)","0","Marseille, France","Marseille stabbing: A man with a knife attacked and killed two women at Saint Charles station and he was shot dead by police officers. The incident is being treated as an 'act of terrorism'. The perpetrator is alleged to have yelled ""Allahu Akbar"" during the attack.[1][2][3]","Ahmed Hanachi[4]","Terrorism in Europe"
"1","Bombing","0","0","Cairo, Egypt","An explosion occurred at Myanmar's embassy in Cairo. The Hasm Movement claimed responsibility and stated that the act was perpetrated in retaliation for the country's crackdown on Rohingya Muslims.[5]","Hasm Movement","Insurgency in Egypt"
"1","Shooting","2","4","Sirnak, Turkey","One soldier and one security guard were killed in an attack by PKK terrorists near road construction in the southeastern Turkish province of Sirnak.[6]","PKK","Kurdish–Turkish conflict"
"1","Arson","0","0","Tacuatí, Paraguay","Two tractors from a farm were incinerated in the city of Tacuatí, San Pedro Department. In addition, a pamphlet was found that would be of the self-denominated Paraguayan People's Army.[7]","Paraguayan People's Army","Paraguayan People’s Army insurgency"
"2","Suicide bombings","17 (+2)","Unknown","Damascus, Syria","At least 17 people were killed in suicide bombings that targeted a police station in the Al-Midan neighbourhood of Damascus.[8][9][10]","Islamic State (suspected)","Syrian Civil War"
"2","Bombing","1","0","Iraq","A U.S. Army member was killed by an improvised explosive device. Pentagon officials decline to give the location of the incident.[11][12]","Islamic State","Iraqi Civil War (2014–2017)"
"2","Bombing","0","5","Manama, Bahrain","At least five policemen were wounded in a bomb blast while securing Ashoora procession on Budaiya Highway.[13][14]","Shia Militants (suspected)","Terrorism in Bahrain"
"3","Shooting","1 (+3)","4","Budgam district, India","A BSF Assistant sub-inspector was killed and four others injured in a shooting next to Srinagar Airport, in India. Three Jaish-e-Mohammed attackers were also killed.[15]","Jaish-e-Mohammed","Insurgency in Jammu and Kashmir"
"4","Car bombing","4","4","Yuksekova, Turkey","An improvised explosive device was planted on a road near the town of Yuksekova, southeast Turkey. The attack killed four soldiers and four others were wounded.[16]","PKK","Kurdish–Turkish conflict"
"4","Suicide bombings, shooting","4 (+3)","39","Misurata, Libya","Gunmen killed at least four people and wounded 39 in a suicide attack on a court complex in the Libyan city of Misurata.[17]","Islamic State","Second Libyan Civil War"
"4","Shooting","0","3","Negros Occidental, Philippines","at least three civilians (one Filipino, a Brazilian and a Swede) were wounded in a failed ambush staged by communist rebels.[18]","New People's Army","CPP–NPA–NDF rebellion"
"4","Ambush","9 (+21)","10","Tillabéri Region, Niger","Tongo Tongo ambush: Four U.S. Army personnel and five Nigerien soldiers were killed and 10 others were injured after being ambushed while assisting local forces in southwest Niger. No group has claimed responsibility but officials have suspected that the Islamic State was behind the attack.[19][20]","Islamic State (suspected)","Insurgency in the Maghreb"
"5","Suicide bombing","24 (+1)","20","Jhal Magsi District, Pakistan","A suicide attacker blew himself up at a Sufi shrine packed with devotees in a village of Jhal Magsi District, killing at least 24 people and injuring twenty others.[21][22]","Islamic State","Insurgency in Balochistan"
"5","Shootings","3","0","Mocímboa da Praia, Mozambique","A group of about 30 armed fundamentalists launched simultaneous attacks against three police stations in Mocimboa da Praia, leading to the death of two policemen and a community leader.[23]","Islamists","Islamist insurgency in Mozambique"
"6","Bombing","0","7","Janiuay, Iloilo, Philippines","Six soldiers and a civilian were wounded when an alleged improvised explosive device blew up in Janiuay town, Iloilo.[24]","New People's Army (suspected)","New People's Army rebellion"
"6","Suicide car bombing","4 (+1)","7","Abyan Governorate, Yemen","Four Yemeni soldiers were killed and seven others wounded a suicide car bombing in the southern province of Abyan.[25]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"7","Shooting","2 (+1)","3","Jeddah, Saudi Arabia","A gunman opened fire on Saudi royal guards guarding the royal palace in Jeddah, resulting in death of two guards and the attacker while three guards were injured.[26]","Mansour al-Amri","Terrorism in Saudi Arabia"
"7","Bombing","2","1","Diyarbakır, Turkey","At least two security guards were killed and one injured after a bomb explosion in Diyarbakir.[27]","PKK","Kurdish–Turkish conflict"
"7","Arson","0","0","Cagayan Province, Philippines","Militants burned heavy equipment owned by one of the biggest construction companies in the zone and stolen the weapons of the security guards un the Province of Cagayan.[28][29]","New People's Army","CPP-NPA-NDF rebellion"
"8","Shooting","2","0","Baghlan province, Afghanistan","At least two police were killed in a Taliban shooting attack on a check post in the village of Chashme Sher in Baghlan province.[30]","Taliban","War in Afghanistan"
