"date","type","dead","injured","location","details","perpetrator","partOf"
"5","Kidnapping","0","1","Ambazonia, Cameroon","Separatists abducted a policeman. Two days later, they released a video of him saying he had been treated well, while claiming that government forces had committed atrocities.[42]","Ambazonia Defence Forces","Anglophone crisis"
"5","Shooting","2","0","Sardasht County, Iran","Two border guards were killed in a shootout with terrorists in Kani Sev outside the city of Sardasht in the Iranian province of Western Azerbaijan.[43][44]","Democratic Party of Iranian Kurdistan","Western Iran clashes"
"5","Shooting","8","9","Nyala, Sudan","Unknown gunmen massacred 8 people and injured 9 others including 7 seriously by shooting in a town near Nyala, Sudan.[45]","Unknown","War in Darfur"
"5","Shooting","2 (+8)","0","Bardera, Somalia","Two government soldiers and eight militants were killed when Al-Shabaab terrorists attacked a military camp in the city of Bardera in the Gedo region of Somalia.[46]","Al-Shabaab","Somali Civil War"
"5","Shooting","0","4","Hacarí, Colombia","Four Colombian soldiers were injured, two of them in seriusly condition after a gunfight against militants of the Popular LIberation Army in Hacarí, Norte de Santander Department.[47]","EPL","Colombian conflict"
"5","Ambush","12","0","Middle Shabelle, Somalia","Two lawmakers from Somalia's semi-autonomous state of Hirshabelle were killed along with ten bodyguards in an ambush in the Middle Shabelle region near Somalia's capital Mogadishu.[48][49]","Al-Shabaab","Somali Civil War"
"6","Bombing","0","1","Muang district, Yala, Thailand","One defense volunteer was injured when an improvised explosive device detonate in front of Ban Sakor school in Tambon Tasab of Yala Muang district.[50]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"6","Bombing","6","3","Liboi, Kenya","Six General Service Unit officers were killed and three more injured, one of them in critical condition after their truck hit an improvised explosive device in the town of Liboi in the Kenyan county of Garissa.[51]","Al-Shabaab","Spillover of the war in Somalia"
"6","Bombing","2","2","Puli Khumri District, Afghanistan","At least two people lost their lives and two others were injured when a bomb blast hit a voter registration center in Khawja Alwan outside Pul-e Khomri, the capital of the northern Afghan province of Baghlan.[52]","Taliban","War in Afghanistan"
"6","Bombings","20","110","Baghdad, Iraq","At least 20 people were killed and 110 wounded when two bombs exploded near an ammunition cache placed in a Shiite mosque in the Sadr City area of Iraq's capital Baghdad.[53][54]","Islamic State (suspected)","Iraqi insurgency"
"6","Execution, shooting, arson","6","2","Quissanga District, Mozambique","At least six people were killed and two seriously injured when terrorists attacked the village of Namaluco in the Quissanga district of the province of Cabo Delgado in northern Mozambique. Some of the six dead were shot and others decapitated, two seriously injured by gunfire. The assailants also burned down a hundred houses.[55][56]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"6","Shooting","1","0","Mogadishu, Somalia","Gunmen shot and killed a former Somali member of parliament in Mogadishu.[57]","Al-Shabaab","Somali Civil War"
"7","Ambush","4","0","Anco District, Peru","Four policemen were killed in an ambush by terrorists in the Anco district of Churcampa province in the Huancavelica region of Peru.[58]","Shining Path","Internal conflict in Peru"
"7","Shooting","1","1","Keran, India","Terrorists attacked an army patrol near the Line of Control in the Keran sector in Jammu and Kashmir's Kupwara district, killing one soldier and injuring another.[59]","Jaish-e-Mohammed","Insurgency in Jammu and Kashmir"
"7","Shooting","2","0","Saraikela, India","One personnel of the Central Reserve Police Force's Cobra battalion and a state police officer were killed in a shootout with Maoists in Jharkhand's Seraikela in India.[60]","CPI","Naxalite–Maoist insurgency"
"7","Shooting","1","1","Gossi, Mali","Terrorists on motorcycles opened fire at a checkpoint in Gossi in the Gourma-Rharous Cercle in the Malian region of Tombouctou. One policeman was killed and another is missing, possibly escaped.[61][62]","Al-Qaeda in the Islamic Maghreb (suspected)","Northern Mali conflict"
