"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting","39","70","Istanbul, Turkey","2017 Istanbul nightclub shooting: One gunman killed 39 individuals in the Reina Nightclub located in Istanbul during 2016–2017 New Year eve celebrations.[1][2]","Islamic State","Turkey–ISIL conflict"
"1","Bombing","0","6","Herat, Afghanistan","At least six people were hurt in an explosion near a mosque in western Afghanistan.[3]","Taliban","War in Afghanistan"
"1","Shooting","1","0","Bujumbura, Burundi","The Burundian environmental minister Emmanuel Niyonkuru was shot dead in the capital city of Bujumbura. A police spokesman said a woman was arrested in connection with the attack.[4]","Lone wolf","Burundian unrest"
"1","Bombing","0","6","Quetta, Pakistan","Four Frontier Corps security personnel and two civilians were injured in a roadside bomb blast in Quetta.[5]","Lashkar-e-Jhangvi (suspected)","Sectarianism in Pakistan"
"1","Assassination","1","0","Ma'an, Jordan","The Islamic State claimed responsibility for a shooting attack it said killed a Jordanian soldier.[6]","Islamic State","Spillover of the Syrian Civil War"
"2","Suicide car bombings","56 (+3)","122","Baghdad, Iraq","January 2017 Baghdad bombings: A series of car bombings in Sadr City and other parts of Baghdad killed at least 56 people and injured more than 120 others.[7]","Islamic State","Iraqi Civil War"
"2","Suicide car bombing","7 (+1)","17","Mogadishu, Somalia","January 2017 Mogadishu bombings: A suicide car bombing killed 7 people and injured 17 others at a checkpoint near Aden Adde International Airport in the Somali capital.[8]","Al-Shabaab","Somali Civil War"
"2","Suicide bombings","7 (+3)","Unknown","Samarra, Iraq","Gunmen wearing suicide vests attacked two police stations in the central Iraqi city of Samarra, killing at least 7 officers.[9]","Islamic State","Iraqi Civil War"
"3","Assassination","1","0","Cairo, Egypt","A Christian businessman was murdered by a Salafi Islamist for selling alcohol in his shop.[10]","Lone wolf",""
"3","Shooting","3","10","Abyan, Yemen","Three Yemeni soldiers were killed and 10 others were injured in an ambush by al-Qaeda militants.[11]","Al-Qaeda in the Arabian Peninsula","Al-Qaeda insurgency in Yemen"
"3","Shooting","4","0","Badakhshan, Afghanistan","A Taliban ambush in the northeastern Badakhshan province killed four Afghan police officers.[12]","Taliban","War in Afghanistan"
"3","Shooting","2","2","Bria, Central African Republic","Moroccan UN peacekeepers were ambushed by assailants while escorting fuel trucks; two peacekeepers were killed and two others were injured.[13][14][15]","Anti-balaka (suspected)","Central African Republic Civil War"
"4","Shooting","2","0","Quetta, Pakistan","Unknown gunmen killed two government officials in a drive-by shooting near Jinnah Town in Quetta.[16]","Lashkar-e-Jhangvi (suspected)","Sectarianism in Pakistan"
"4","Car bombing","0","4","Mogadishu, Somalia","A car bomb attack injured four United Nations guards in Mogadishu in an explosion targeting the UN's compound.[17]","Al-Shabaab","Somali Civil War"
"4","Jailbreak, shootout","2 (+5)","1","Kidapawan, Philippines","2017 Kidapawan jail siege: Around 100 gunmen attacked the North Cotabato District Jail in Kidapawan in the Southern Philippines. A total of 158 inmates escaped, fourteen of whom were quickly recaptured, while five others were killed.[18]","Bangsamoro Islamic Freedom Fighters  (suspected)","Moro conflict"
