"date","type","dead","injured","location","details","perpetrator","partOf"
"8","Shooting, kidnapping","20","15","Borno State, Nigeria","Gunmen on motorbikes opened fire on a group of loggers collecting firewood at Kaje village, near the Borno state capital, Maiduguri. 20 People were killed in the attack and 15 others are missing and presumed kidnapped by the attackers.[41]","Boko Haram","Boko Haram insurgency"
"9","Bombing","0","3","Mogadishu, Somalia","A bomb explosion in the heart of Mogadishu, the Somali capital has wounded at least three government soldiers aboard a military vehicle.[42]","Al-Shabaab","Somali Civil War"
"9","Suicide bombing","7 (+1)","23","Quetta, Pakistan","A bomb went off in the center of the Pakistani city of Quetta, capital of the province of Balochistan, killing seven people and wounding 23.[43][44]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"9","Shooting","1","0","Havat Gilad, West Bank","A drive-by shooting took place in the Northern West Bank leaving one Israeli, a rabbi, dead.[45]","Hamas","Israeli–Palestinian Conflict"
"9","Bombing","1","3","Datu Unsay, Philippines","A soldier was killed while two civilians were injured when a suspected Islamic State-inspired Moro armed group set off two separate roadside bombs in Maguindanao.[46]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"10","Bombing","0","1","Miqdadiyah, Iraq","One civilian was injured in a bomb blast in southeastern Miqdadiyah, Diyala.[47]","Islamic State","Iraqi insurgency"
"10","Bombing","0","6","Nong Chik District, Thailand","Six members of a ranger patrol were hurt when a roadside bomb exploded as they went by in Nong Chik district.[48][49]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"10","Suicide car bombing","3 (+1)","3","Shabwah Governorate, Yemen","At least three Yemenis were killed in a suicide car bomb attack that targeted a military vehicle in Yemen's southeastern Shabwah province. Three Yemeni soldiers were also injured in the incident.[50][51]","Al-Qaeda in the Arabian Peninsula (suspected)","Yemeni Civil War"
"10","Shooting","3","0","Far North Region, Cameroon","At least three people were killed in an attack in Cameroon's Far North region.[52]","Boko Haram","Boko Haram insurgency"
"10","Shooting","5","2","Kunduz Province, Afghanistan","Five personnel of Afghan Local Police were killed and two others wounded following an attack from the Taliban militants in the country's troubled northern province of Kunduz.[53]","Taliban","War in Afghanistan"
"10","Shooting","1","0","Arauca Department, Colombia","A Colombian soldier was shot dead by an ELN sniper in the department of Arauca.[54]","ELN","Colombian conflict"
"10","Stabbing","1","0","Orange County, United States","The California man accused of killing a gay and Jewish University of Pennsylvania student was an avowed neo-Nazi and a member of Atomwaffen Division, one of the country’s most notorious extremist groups..[55]","Atomwaffen Division","Terrorism in the United States"
"11","Suicide bombing","0 (+1)","3","Ménaka Region, Mali","Three French soldiers of the Barkhane force were wounded, one of them seriously, by a suicide bomber in eastern Mali.[56][57]","Islamic State","Northern Mali conflict"
"11","Shooting","6","0","Nawa-I-Barakzayi District, Afghanistan","Six policemen have been killed in a Taliban attack in Nawa district of southern Helmand province.[58]","Taliban","War in Afghanistan"
"11","Stabbing","0","4","Vendin-le-Vieil, France","A German prisoner jailed for his involvement in the Djerba bombing in 2002 assaulted four guards at the Vendin-le-Vieil prison while shouting ""Allahu Akbar"". One of the guards was hospitalized for a head wound.[59][60]","Al-Qaeda","Islamic terrorism in Europe"
"11","Mortar attack","1","Several","Mogadishu, Somalia","At least one civilian was killed and several were wounded after mortar rounds landed near the Presidential Palace in Mogadishu.[61]","Al-Shabaab","Somali Civil War"
"11","Suicide bombings","0 (+2)","2","Amchide, Cameroon","Two suicide bombers, alleged members of the Islamist group Boko Haram, detonated their bombs in the Ouro-Kessoum district of Amchide in Cameroon, injuring two others.[62]","Boko Haram","Boko Haram insurgency"
"11","Shootings, kidnapping","4","3","Far North Region, Cameroon","Four people were killed and two others kidnapped in separate overnight attacks in the far north of Cameroon. Another one was wounded.[63]","Boko Haram","Boko Haram insurgency"
"12","Shooting","3","0","Farah Province, Afghanistan","A Taliban attack has killed three policemen in western Farah province.[64]","Taliban","War in Afghanistan"
"12","Shooting","3","1","Kirkuk Governorate, Iraq","Islamic State militants killed three family members in their house in the oil-rich province of Kirkuk.[65]","Islamic State","Iraqi insurgency"
"12","Suicide bombing","2 (+1)","6","Chaghcharan, Afghanistan","Two people were killed and six others injured in a suicide blast in Chaghcharan, the capital of western Ghor province.[66]","Taliban (suspected)","War in Afghanistan"
